Actual,Predicted
0.0,3822.3974900110425
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,6140.950758581918
0.0,2548.7627113069257
8911.539999999999,13671.00612342536
11162.560000000001,3782.6332947460755
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,5352.159395860422
8797.99,14867.485383085435
0.0,5352.159395860422
1809.58,2548.7627113069257
8565.17,46132.48379852977
0.0,2548.7627113069257
0.0,3782.6332947460755
0.0,2548.7627113069257
0.0,5352.159395860422
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
68802.85,52188.66585889438
1773.36,8654.81797648511
0.0,2548.7627113069257
0.0,45691.287454560035
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
49818.68,163684.1610681402
0.0,2548.7627113069257
0.0,5352.159395860422
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,-728.6879090050712
0.0,2548.7627113069257
0.0,6105.5947508017025
0.0,2548.7627113069257
530.96,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,3986.461545048783
84456.44,8642.95459560824
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
2080.22,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
4268.99,-2679.717569837711
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
918.72,2548.7627113069257
266650.08,376337.87126367004
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
1253.15,3010.954326853197
0.0,2548.7627113069257
87468.04,55286.6650156761
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,12914.58795808786
0.0,96073.71927133478
0.0,2548.7627113069257
77578.51000000001,68093.37934224866
0.0,21844.793970817413
0.0,4536.068649687358
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
1094.32,5352.159395860422
682.42,4536.068649687358
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
2625.74,2548.7627113069257
0.0,5352.159395860422
996273.55,185199.05986641214
0.0,2548.7627113069257
0.0,2548.7627113069257
1183.46,2950.9540587247575
0.0,3106.242492852198
0.0,2548.7627113069257
44463.84,72514.18773133245
5115.01,4536.068649687358
0.0,5352.159395860422
0.0,3106.242492852198
0.0,2548.7627113069257
0.0,3106.242492852198
0.0,2548.7627113069257
14109.89,77094.9796462317
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,2548.7627113069257
766.12,9259.659098111793
0.0,2548.7627113069257
1248.46,2548.7627113069257
0.0,2950.9540587247575
0.0,2548.7627113069257
0.0,2548.7627113069257
0.0,4021.817552828999
3696.39,162277.13036339445
0.0,2548.7627113069257
