Actual,Predicted
0.0,81.28838626196908
0.0,-649.7007857830084
0.0,-86.93765246897642
0.0,-547.7429753603728
0.0,57.311786749314074
0.0,10902.85443632581
0.0,1311.3815322751368
0.0,-161.10359096363288
0.0,57.94452768981336
0.0,-382.52461609115164
0.0,2511.5290989099826
0.0,-346.2732437294339
0.0,134.93598174250315
4283.8,28905.056696361302
0.0,-3.6659618949237345
0.0,-187.03835427076604
0.0,-78.49415917516946
0.0,11080.208762732815
0.0,-2221.8967722083808
0.0,-16.70828240911835
0.0,-23.686562341961988
0.0,-59.4155456160901
0.0,7860.347901983815
0.0,17565.398060277534
0.0,-121.09569964912974
0.0,-1453.2238209310724
0.0,-25745.556817817615
0.0,5.291723310273379
0.0,-206.67491847836632
3511.99,31449.769916289795
0.0,-48.401012053558674
0.0,-89.71641858245484
0.0,-41.667356822817
0.0,216.60535654751394
0.0,17.488906644911847
0.0,-3977.4912897177865
0.0,100.69680381831155
0.0,8192.666970772761
0.0,-40.22430269732812
0.0,-24.78823510631206
0.0,46.84174515846746
0.0,279.0945414569388
0.0,181.1504874771528
0.0,-194.19490643931817
0.0,1262.824039958611
4443.57,5709.0723848202515
0.0,-51.00698763033935
0.0,-602.4545306800361
0.0,-47.82695875516649
0.0,-44.17369516776591
0.0,-2233.627884549943
0.0,501.0581717517646
0.0,21.833896314643074
0.0,7950.666022630013
0.0,13920.24931473332
0.0,1262.824039958611
0.0,-165.84539807884036
0.0,-66.24056226069135
0.0,48.90322876356334
0.0,-24.99072806697611
918.72,-59.4155456160901
57464.1,142925.18295840593
0.0,-644.8422155026134
0.0,-1849.5534728034781
0.0,5.291723310273379
0.0,-71.7040778386244
1253.15,-114.55112639387035
0.0,3157.848382355515
14928.64,-2411.9202559196888
0.0,-19.982261167741292
0.0,21566.213450755055
0.0,-362.3848270430825
0.0,-771.4223959147231
0.0,-132.43662177273924
32983.24,7196.1615125342
0.0,1312.585835178495
0.0,1049.6233768594846
0.0,-64.5292779756695
0.0,-47.19089727690025
0.0,-178.96133180896612
0.0,-2092.6450748639836
0.0,-7837.4660703762165
0.0,-99.29794307537578
0.0,-411.9380192185202
0.0,3356.5122909110846
0.0,33.66965413321134
2625.74,-51.00698763033935
0.0,-2848.855404567914
269257.06,24514.13688101187
0.0,-178.25953115271253
0.0,39.8972811382187
0.0,43.94575698258116
0.0,459.9795315297785
0.0,-162.65546276052618
0.0,8316.858432352972
0.0,15980.575056287613
0.0,599.4950047499318
0.0,-236.67041785740335
0.0,-147.42188813017418
0.0,5324.985524816084
0.0,-65.23215154115258
0.0,6765.536034965286
